OBJECTID *;TIPO;NOMBRE;CONCESION;GEN;SENTIDO;COD_VIA;DEP;CONCESIONA;INIC_OPER;CAT1;CAT2;CAT3;CAT4;CAT5;CAT6;CAT7;ETIQUETA;longitud;latitud
88;Actual;LA ESPERANZA 01;Córdoba – Sucre;3G;Bidireccional;25SC;Sucre;AUTOPISTAS DE LA SABANA S.A.;04/18/2016 12:00:00 AM;8500;9200;19900;25200;28400;0;0;La Esperanza (Córdoba - Sucre);-75.435951;9.430742
89;Actual;LAS FLORES;Córdoba – Sucre;3G;Bidireccional;2515;Sucre;AUTOPISTAS DE LA SABANA S.A.;02/06/2008 12:00:00 AM;4700;12400;19300;24500;28100;0;0;Las Flores;-75.320053;9.318891
90;Actual;SAN ONOFRE;IP – Antioquia – Bolívar;4G;Bidireccional;9005;Sucre;Concesión Ruta al Mar SAS CORUMA SAS;07/30/2016 12:00:00 AM;13100;19300;19300;19300;34900;55600;64100;San Onofre;-75.39904;9.863501
91;Actual;EL CARMEN;Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso;4G;Bidireccional;2515;Bolívar;SOCIEDAD CONCESIONARIA VIAL MONTES DE MARIA SAS;04/18/2016 12:00:00 AM;9100;10000;20900;26600;29900;0;0;El Carmen;-75.124916;9.682155
92;Actual;GAMBOTE;Ruta Caribe;3G;Bidireccional;9005;Bolívar;AUTOPISTAS DEL SOL S.A.;01/16/2009 12:00:00 AM;8300;9200;20500;27400;31300;0;0;Gambote;-75.264267;10.136159
93;Actual;PASACABALLOS;Ruta Caribe;3G;Bidireccional;90B;Bolívar;AUTOPISTAS DEL SOL S.A.;03/03/2017 12:00:00 AM;8400;9100;19400;25300;29400;29400;29400;Pasacaballos;-75.44545;10.244228
94;Actual;TURBACO;Ruta Caribe;3G;Bidireccional;9005;Bolívar;AUTOPISTAS DEL SOL S.A.;10/01/2013 12:00:00 AM;3400;8200;10000;;;0;0;Turbaco;-75.443443;10.357028
95;Actual;PUENTE PLATO;Ruta del Sol – Sector 3;3G;Bidireccional;8002;Magdalena;CONCESIONARIA YUMA S.A.;06/01/2011 12:00:00 AM;9500;11800;25000;35400;38000;0;0;Puente Plato;-74.808983;9.791388
96;Actual;CALAMAR;Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso;4G;Bidireccional;2515;Bolívar;SOCIEDAD CONCESIONARIA VIAL MONTES DE MARIA SAS;04/18/2016 12:00:00 AM;8600;9300;19900;25300;28400;0;0;Calamar;-74.945015;10.208106
98;Actual;EL DIFÍCIL;Ruta del Sol – Sector 3;3G;Bidireccional;8002;Magdalena;CONCESIONARIA YUMA S.A.;06/01/2011 12:00:00 AM;9500;11800;25000;35400;38000;0;0;El Difícil;-74.267754;9.831166
99;Actual;EL COPEY;Ruta del Sol – Sector 3;3G;Bidireccional;4517;Cesar;CONCESIONARIA YUMA S.A.;06/01/2011 12:00:00 AM;8200;9000;21100;27700;32100;0;0;El Copey;-73.923826;10.060372
100;Actual;VALENCIA;Ruta del Sol – Sector 3;3G;Bidireccional;8003;Cesar;CONCESIONARIA YUMA S.A.;06/01/2011 12:00:00 AM;8400;9300;20200;26000;29600;0;0;Valencia;-73.430756;10.259704
